Year,Round Number,Circuit Name,Race Name,Mean Track Temperature,Rainfall Status,Driver Abbr,Team,Driver Number,Sprint Position,Sprint Points,Quali Position,Race Position,Race Points
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,SIR,Williams,35,,0,12.0,R,0.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,HAM,Mercedes,44,,0,2.0,1,25.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,VET,Ferrari,5,,0,1.0,4,12.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,SAI,Renault,55,,0,10.0,5,10.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,RAI,Ferrari,7,,0,6.0,2,18.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,BOT,Mercedes,77,,0,3.0,R,0.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,GRO,Haas F1 Team,8,,0,20.0,R,0.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,ERI,Sauber,9,,0,18.0,11,0.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,GAS,Toro Rosso,10,,0,12.0,R,0.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,PER,Force India,11,,0,15.0,9,2.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,ALO,McLaren,14,,0,8.0,8,4.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,LEC,Sauber,16,,0,14.0,10,1.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,STR,Williams,18,,0,19.0,11,0.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,VAN,McLaren,2,,0,11.0,R,0.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,MAG,Haas F1 Team,20,,0,7.0,6,8.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,HUL,Renault,27,,0,16.0,R,0.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,HAR,Toro Rosso,28,,0,20.0,12,0.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,RIC,Red Bull Racing,3,,0,6.0,5,10.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,OCO,Force India,31,,0,13.0,R,0.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,VER,Red Bull Racing,33,,0,5.0,3,15.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,SIR,Williams,35,,0,18.0,14,0.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,HAM,Mercedes,44,,0,1.0,1,25.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,VET,Ferrari,5,,0,3.0,4,12.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,SAI,Renault,55,,0,9.0,7,6.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,RAI,Ferrari,7,,0,4.0,R,0.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,BOT,Mercedes,77,,0,2.0,2,18.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,GRO,Haas F1 Team,8,,0,10.0,R,0.0
2018,5,Catalunya,Spanish Grand Prix,30.62,Rain,ERI,Sauber,9,,0,17.0,13,0.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,GAS,Toro Rosso,10,,0,10.0,7,6.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,PER,Force India,11,,0,9.0,12,0.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,ALO,McLaren,14,,0,7.0,R,0.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,LEC,Sauber,16,,0,14.0,R,0.0
